"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Building";"SupplyDepot";NA;47;0
"Unit";"SCV";"Command Center";48;1
"Unit";"Raven";"Starport";44;2
"Unit";"SCV";"Command Center";53;1
"Unit";"SCV";"Command Center";54;1
"Unit";"SCV";"Command Center";57;1
"Building";"SupplyDepot";NA;55;0
"Unit";"SCV";"Command Center";58;1
"Unit";"SCV";"Command Center";59;1
"Building";"Factory";NA;49;0
"Unit";"Cyclone";"Factory";58;3
"Unit";"Cyclone";"Factory";58;3
"Building";"Armory";NA;49;0
"Unit";"SCV";"Command Center";60;1
"Unit";"SCV";"Command Center";61;1
"Building";"SupplyDepot";NA;61;0
"Unit";"SCV";"Command Center";68;1
"Building";"CommandCenter";NA;48;0
"Unit";"SCV";"Command Center";69;1
"Unit";"Raven";"Starport";59;2
"Unit";"SCV";"Command Center";70;1
"Unit";"Cyclone";"Factory";70;3
"Unit";"Cyclone";"Factory";70;3
"Building";"SupplyDepot";NA;71;0
"Unit";"SCV";"Command Center";74;1
"Building";"FactoryReactor";NA;68;0
"Unit";"SCV";"Command Center";74;1
"Building";"SupplyDepot";NA;74;0
"Building";"EngineeringBay";NA;72;0
"Unit";"SCV";"Command Center";81;1
"Unit";"SCV";"Command Center";82;1
"Unit";"Hellion";"Factory";75;2
"Unit";"Hellion";"Factory";78;2
"Building";"SupplyDepot";NA;82;0
"Building";"SupplyDepot";NA;83;0
"Building";"MissileTurret";NA;84;0
"Unit";"SCV";"Command Center";89;1
"Unit";"SCV";"Command Center";89;1
"Unit";"Raven";"Starport";75;2
"Building";"MissileTurret";NA;89;0
"Unit";"Cyclone";"Factory";89;3
"Unit";"Cyclone";"Factory";89;3
"Unit";"SCV";"Command Center";91;1
"Unit";"SCV";"Command Center";91;1
"Unit";"Hellion";"Factory";89;2
"Unit";"Hellion";"Factory";89;2
"Building";"SupplyDepot";NA;89;0
"Unit";"SCV";"Command Center";105;1
"Unit";"SCV";"Command Center";105;1
"Building";"SupplyDepot";NA;105;0
"Unit";"Hellion";"Factory";105;2
"Unit";"Hellion";"Factory";105;2
"Building";"SupplyDepot";NA;105;0
"Unit";"Cyclone";"Factory";105;3
"Unit";"Cyclone";"Factory";105;3
"Unit";"SCV";"Command Center";107;1
"Unit";"SCV";"Command Center";107;1
"Unit";"SCV";"Command Center";107;1
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";83;0
"Building";"SupplyDepot";NA;107;0
"Building";"SensorTower";NA;120;0
"Building";"CommandCenter";NA;93;0
"Building";"Refinery";NA;120;0
"Building";"Refinery";NA;120;0
"Unit";"Raven";"Starport";105;2
"Building";"Armory";NA;120;0
"Unit";"SCV";"Command Center";122;1
"Unit";"SCV";"Command Center";122;1
"Unit";"SCV";"Command Center";122;1
"Unit";"Cyclone";"Factory";122;3
"Unit";"Cyclone";"Factory";122;3
"Unit";"Cyclone";"Factory";122;3
"Unit";"Cyclone";"Factory";122;3
"Unit";"Hellion";"Factory";125;2
"Unit";"Hellion";"Factory";128;2
"Unit";"Hellion";"Factory";131;2
"Unit";"Hellion";"Factory";134;2
"Unit";"SCV";"Command Center";145;1
"Unit";"SCV";"Command Center";145;1
"Unit";"SCV";"Command Center";145;1
"Unit";"SCV";"Command Center";145;1
"Unit";"Hellion";"Factory";145;2
"Unit";"Hellion";"Factory";145;2
"Unit";"Hellion";"Factory";145;2
"Unit";"Hellion";"Factory";145;2
"Unit";"Raven";"Starport";137;2
"Building";"Starport";NA;145;0
"Building";"Starport";NA;145;0
"Building";"MissileTurret";NA;157;0
"Building";"MissileTurret";NA;159;0
"Unit";"Hellion";"Factory";159;2
"Unit";"Hellion";"Factory";159;2
"Unit";"Hellion";"Factory";159;2
"Unit";"Hellion";"Factory";159;2
"Building";"Factory";NA;149;0
"Building";"StarportTechLab";NA;159;0
"Building";"StarportTechLab";NA;159;0
"Unit";"Raven";"Starport";157;2
"Building";"FactoryTechLab";NA;167;0
"Building";"MissileTurret";NA;167;0
"Unit";"Cyclone";"Factory";167;3
"Unit";"Cyclone";"Factory";167;3
"Unit";"Cyclone";"Factory";167;3
"Unit";"Cyclone";"Factory";167;3
"Building";"CommandCenter";NA;157;0
"Unit";"Raven";"Starport";167;2
"Unit";"Raven";"Starport";167;2
"Unit";"Hellion";"Factory";181;2
"Unit";"Hellion";"Factory";181;2
"Unit";"Hellion";"Factory";181;2
"Unit";"Hellion";"Factory";181;2
"Unit";"Hellion";"Factory";181;2
"Building";"CommandCenter";NA;159;0
"Unit";"Raven";"Starport";169;2
"Upgrade";"TerranVehicleAndShipArmorsLevel1";"Armory";159;0
"Building";"SensorTower";NA;185;0
"Unit";"Hellion";"Factory";197;2
"Unit";"Hellion";"Factory";197;2
"Unit";"Hellion";"Factory";197;2
"Unit";"Hellion";"Factory";197;2
"Upgrade";"TerranVehicleWeaponsLevel2";"Armory";159;0
"Unit";"Cyclone";"Factory";197;3
"Unit";"Raven";"Starport";195;2
"Unit";"Raven";"Starport";195;2
"Unit";"Hellion";"Factory";205;2
"Unit";"Cyclone";"Factory";208;3
"Unit";"Cyclone";"Factory";210;3
"Unit";"Cyclone";"Factory";210;3
"Building";"Refinery";NA;212;0
"Building";"Refinery";NA;212;0
"Unit";"Raven";"Starport";205;2
"Unit";"Hellion";"Factory";223;2
"Unit";"Cyclone";"Factory";225;3
"Unit";"Cyclone";"Factory";225;3
"Unit";"Cyclone";"Factory";225;3
"Unit";"Cyclone";"Factory";225;3
"Unit";"Raven";"Starport";223;2
"Unit";"Hellion";"Factory";239;2
"Unit";"Hellion";"Factory";239;2
"Unit";"Hellion";"Factory";239;2
"Unit";"Hellion";"Factory";239;2
"Unit";"Hellion";"Factory";239;2
"Unit";"Raven";"Starport";227;2
"Unit";"Raven";"Starport";227;2
"Unit";"Hellion";"Factory";241;2
"Unit";"Hellion";"Factory";243;2
"Unit";"Hellion";"Factory";245;2
"Unit";"Hellion";"Factory";247;2
"Unit";"Hellion";"Factory";249;2
